Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Units,Era,Parameter,Result
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Silt,10.2
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Silt and Clay (Calculated),10.2
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Clay,0.3
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Silt and Clay (Calculated),0.3
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Sand,34.7
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Sand (Calculated),34.7
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Silt,26
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),26
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Clay,39.4
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),39.4
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Sand,45.8
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Sand (Calculated),45.8
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Silt,23.4
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),23.4
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Clay,30.7
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB10,S.EB10,1991.EB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),30.7
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Sand,33.2
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Sand (Calculated),33.2
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Silt,29.4
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Silt and Clay (Calculated),29.4
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Clay,37.4
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,%,1990s,Percent Silt and Clay (Calculated),37.4
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Sand,25.1
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Sand (Calculated),25.1
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Silt,42.1
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Silt and Clay (Calculated),42.1
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Clay,32.8
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,%,1990s,Percent Silt and Clay (Calculated),32.8
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Sand,62.3
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Sand (Calculated),62.3
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Silt,21
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Silt and Clay (Calculated),21
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Clay,16.7
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,%,1990s,Percent Silt and Clay (Calculated),16.7
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Sand,16.5
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Sand (Calculated),16.5
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Silt,41.6
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Silt and Clay (Calculated),41.6
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Clay,41.9
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB05Q,S.EB05,1991.EB05,1991,0,%,1990s,Percent Silt and Clay (Calculated),41.9
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Sand,20.5
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Sand (Calculated),20.5
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Silt,46.3
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Silt and Clay (Calculated),46.3
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Clay,33.3
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB06Q,S.EB06,1991.EB06,1991,0,%,1990s,Percent Silt and Clay (Calculated),33.3
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Sand,6
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Sand (Calculated),6
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Silt,52
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Silt and Clay (Calculated),52
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Clay,42
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB07Q,S.EB07,1991.EB07,1991,0,%,1990s,Percent Silt and Clay (Calculated),42
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Sand,25.6
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Sand (Calculated),25.6
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Silt,33.7
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Silt and Clay (Calculated),33.7
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Clay,40.8
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB08Q,S.EB08,1991.EB08,1991,0,%,1990s,Percent Silt and Clay (Calculated),40.8
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Sand,21.7
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Sand (Calculated),21.7
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Silt,37.4
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Silt and Clay (Calculated),37.4
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Clay,40.8
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Sand (Calculated),0
East Bay,L.EB09Q,S.EB09Q,1991.EB09,1991,0,%,1990s,Percent Silt and Clay (Calculated),40.8
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Sand,6.3
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Sand (Calculated),6.3
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Silt,57.7
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),57.7
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Clay,36
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB01Q,S.IB01,1991.IB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),36
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Sand,4.3
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Sand (Calculated),4.3
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Silt,56.6
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),56.6
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Clay,39.1
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB10Q,S.IB10,1991.IB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),39.1
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Sand,11.5
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Sand (Calculated),11.5
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Silt,46.8
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Silt and Clay (Calculated),46.8
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Clay,41.7
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB02Q,S.IB02,1991.IB02,1991,0,%,1990s,Percent Silt and Clay (Calculated),41.7
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Sand,6.8
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Sand (Calculated),6.8
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Silt,69.7
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Silt and Clay (Calculated),69.7
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Clay,23.5
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB03Q,S.IB03,1991.IB03,1991,0,%,1990s,Percent Silt and Clay (Calculated),23.5
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Sand,4.3
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Sand (Calculated),4.3
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Silt,57.1
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Silt and Clay (Calculated),57.1
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Clay,38.7
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB04Q,S.IB04,1991.IB04,1991,0,%,1990s,Percent Silt and Clay (Calculated),38.7
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Sand,16
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Sand (Calculated),16
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Silt,40
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Silt and Clay (Calculated),40
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Clay,44
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB05,S.IB05,1991.IB05,1991,0,%,1990s,Percent Silt and Clay (Calculated),44
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Sand,24.9
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Sand (Calculated),24.9
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Silt,41.9
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Silt and Clay (Calculated),41.9
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Clay,33.3
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB06Q,S.IB06Q,1991.IB06,1991,0,%,1990s,Percent Silt and Clay (Calculated),33.3
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Sand,3.1
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Sand (Calculated),3.1
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Silt,55.2
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Silt and Clay (Calculated),55.2
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Clay,41.8
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB07Q,S.IB07,1991.IB07,1991,0,%,1990s,Percent Silt and Clay (Calculated),41.8
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Sand,6.1
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Sand (Calculated),6.1
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Silt,56.7
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Silt and Clay (Calculated),56.7
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Clay,37.3
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB08Q,S.IB08,1991.IB08,1991,0,%,1990s,Percent Silt and Clay (Calculated),37.3
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Sand,7.6
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Sand (Calculated),7.6
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Silt,48.6
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Silt and Clay (Calculated),48.6
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Clay,43.8
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Sand (Calculated),0
Inner Bay,L.IB09Q,S.IB09,1991.IB09,1991,0,%,1990s,Percent Silt and Clay (Calculated),43.8
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Sand,4.2
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Sand (Calculated),4.2
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Silt,58.3
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Sand (Calculated),0
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),58.3
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Clay,37.6
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Sand (Calculated),0
Outer Bay,L.OB01Q,S.OB01,1991.OB01,1991,0,%,1990s,Percent Silt and Clay (Calculated),37.6
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Sand,42.5
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Sand (Calculated),42.5
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Silt,35.1
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Sand (Calculated),0
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),35.1
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Clay,22.4
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Sand (Calculated),0
Outer Bay,L.OB10Q,S.OB10,1991.OB10,1991,0,%,1990s,Percent Silt and Clay (Calculated),22.4
Outer Bay,L.OB11Q,S.OB11Q,1991.OB11,1991,0,%,1990s,Percent Sand,10.9
Outer Bay,L.OB11Q,S.OB11Q,1991.OB11,1991,0,%,1990s,Percent Sand (Calculated),10.9
Outer Bay,L.OB11Q,S.OB11Q,1991.OB11,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Outer Bay,L.OB11Q,S.OB11Q,1991.OB11,1991,0,%,1990s,Percent Silt,57
